teks,is_left,is_center,is_right,is_biased
"Meskipun setiap cabang olahraga memiliki aturannya masing-masing terkait penggunaan penutup kepala, perempuan Muslim yang bertanding sambil mengenakan jilbab menghadapi banyak kendala.",1,0,0,1
"Memang benar, laporan asli NYT tersebut menyatakan bahwa manajemen klub Trump di New Jersey sangat menyadari fakta bahwa klub tersebut mempekerjakan imigran tidak berdokumen, dan mereka dengan sengaja mengambil langkah-langkah untuk mengaburkan fakta bahwa klub tersebut melanggar hukum – berulang kali, selama beberapa waktu. bertahun-tahun.",1,0,0,1
"Untuk sesaat pada hari Selasa, dunia politik saling merasa muak dengan pertemuan Donald Trump dengan Robert Kennedy Jr.",0,0,1,1
"Penyiar CNN Chris Cuomo dengan cepat membela aktivis iklim Greta Thunberg dari ""Trumpers"" yang mengejeknya pada hari Kamis, tetapi dengan cepat diingatkan tentang penyelesaian yang baru-baru ini dibuat oleh jaringannya dengan siswa Sekolah Menengah Katolik Covington, Nick Sandmann.",0,0,1,1
Namun hal ini hanyalah puncak gunung es dari penjahat perang yang mengintai -- dan bekerja -- di wilayah AS.,0,0,1,1
"Hasilnya adalah kekacauan: produsen mobil, yang sudah mulai mengambil langkah-langkah untuk mematuhi standar efisiensi bahan bakar yang ketat untuk industri otomotif era Obama, menghadapi kemungkinan harus membuat kendaraan yang berbeda untuk dijual di berbagai wilayah di negara tersebut.",1,0,0,1
"Namun bahkan ketika jumlah pekerja yang kehilangan pekerjaan meningkat hingga mencapai puluhan juta orang ketika negara tersebut berupaya untuk membendung pandemi yang sudah menyebar luas, Presiden secara pribadi mempromosikan obat-obatan ajaib seperti hydroxychloroquine dan menunjukkan kelakuannya yang tidak terkendali dengan bertanya-tanya tentang kemungkinan meminum pemutih dan minuman beralkohol. menyuntikkan sinar matahari sebagai metode penyembuhan diri dari virus corona.",1,0,0,1
Presiden Belarus menolak untuk membatalkan olahraga dan mencemooh 'Psikosis' tindakan virus corona.,0,0,1,1
"Bagi banyak orang di sayap kiri, kekacauan adalah intinya. Kehancuran adalah tujuannya. Mereka lebih memilih kegilaan yang tidak diketahui yang ada di depan daripada apa pun yang masih (hampir) bisa menyatukan kita di masa sekarang.",0,0,1,1
"The New York Times baru-baru ini menerbitkan pemeriksaan fakta yang cukup rinci mengenai argumen Trump World bahwa Partai Demokrat tidak keberatan mengeksekusi bayi setelah lahir, dan tidak mengherankan, retorika tersebut salah.",1,0,0,1
"Pernyataan Netflix terkait meninggalkan Georgia jika undang-undang detak jantung janin mulai berlaku adalah cara perusahaan memberikan peringatan kepada Georgia dan negara-negara serupa: Sesuaikan dengan cita-cita dan nilai-nilai Hollywood kami, atau kami tidak akan memberikan bisnis kami kepada Anda.",0,0,1,1
"Bagaimana kita mengatasi persepsi salah bahwa kaum liberal lebih cenderung mempercayai sains dibandingkan kaum konservatif? Atau, bagaimana kita menyikapi kecenderungan media yang fokus pada pandangan-pandangan tidak ilmiah dari beberapa kelompok konservatif namun mengabaikan keyakinan-keyakinan yang tidak rasional—dan sering kali, lebih penting—dari rekan-rekan mereka yang liberal?",0,0,1,1
"Olimpiade Tokyo bahkan lebih merupakan mimpi yang menjadi kenyataan bagi komunitas bisbol kecil di Israel, yang sebagian besar terdiri dari imigran Amerika, dan telah mendekam selama beberapa dekade di dunia olahraga di negara tersebut.",0,0,1,1
"Ketika jumlah calon presiden Partai Demokrat untuk tahun 2020 terus bertambah dan kekacauan pelanggaran hukum Trump semakin meluas, kita bisa saja mengabaikan krisis yang semakin parah yang telah berdampak buruk pada jutaan rumah tangga dan akan menjadi jauh lebih buruk.",1,0,0,1
"Memang benar, baru minggu ini, Donald Trump, yang pernah mengatakan bahwa krisis iklim adalah sebuah kebohongan yang dibuat oleh Tiongkok, kagum dengan suhu dingin di seluruh wilayah Midwest, dan yakin bahwa cuaca yang sangat dingin adalah bukti dari… sesuatu.",1,0,0,1
"Biel hanyalah selebriti Hollywood terbaru yang memberikan dukungannya terhadap gerakan kontroversial anti-vaksin, yang telah ditolak dan dikritik oleh komunitas ilmiah.",0,0,1,1
"Pekan lalu, Ankara melanggar perjanjian tahun 2015 dengan Brussels yang menyatakan bahwa mereka akan menghentikan aliran migran ilegal melalui Turki dengan imbalan uang dan melanjutkan perundingan aksesi ke Uni Eropa, serta membuka pintu gerbang yang mengakibatkan ribuan migran berkumpul di wilayah negara di Timur Dekat tersebut. berbatasan dengan Yunani.",0,0,1,1
"Anggota Parlemen Alexandria Ocasio-Cortez, DN.Y., telah menggemparkan Kongres, dengan cepat menjadi pemimpin de facto dari blok sayap kiri Partai Demokrat yang berusaha merombak status quo dengan ide-ide sayap kiri seperti Green New Deal.",0,0,1,1
"Kapan vaksin dipolitisasi? Di tengah wabah campak, tiba-tiba Partai Republik mendukung kelompok anti-vaksin.",1,0,0,1
"Kapten tim sepak bola wanita AS, Megan Rapinoe, memohon kepada para bintang sepak bola pria terkemuka untuk mulai melakukan agitasi demi alasan politik.",0,0,1,1
"Kandidat presiden dari Partai Demokrat Joe Biden pada hari Selasa mengecam tanggapan Presiden Donald Trump terhadap protes AS atas rasisme dan kesalahan polisi, dan bersumpah untuk mencoba menyembuhkan kesenjangan ras di negara tersebut dan tidak “menyulut api kebencian.”",0,1,0,1
"Partai Republik akan mengklaim bahwa mereka memprioritaskan kebijakan pro-kehidupan, dan Partai Demokrat akan menjaga aborsi sebagai hal yang sakral.",0,0,1,1
"Sisi kedua diwakili oleh pemberi pinjaman, yang – dalam pandangan saya – tidak berbuat banyak dalam menilai kemampuan seseorang untuk membayar kembali pinjaman mahasiswanya. Jika seorang siswa meminjam untuk mendaftar dalam suatu program, batasan jumlah pinjaman cukup tinggi ketika pinjaman federal dan swasta digabungkan.",1,0,0,1
"Menjelang pemilu sela tahun 2018, Presiden Donald Trump kerap mencerca karavan migran dari Amerika Tengah yang menuju AS untuk meminta suaka.",0,1,0,1
"Kerugian tersebut dapat diimbangi dengan upaya yang dilakukan oleh kelompok aktivis seperti Koalisi Kristen pimpinan Ralph Reed, yang berencana menghabiskan puluhan juta dolar untuk mengidentifikasi dan mendaftarkan pemilih konservatif agama baru dan menggalang dana umat Kristen sayap kanan.",1,0,0,1
Karena rencana Trump untuk menghapuskan upaya perlindungan polusi begitu drastis sehingga banyak negara bagian mengumumkan rencana untuk menerapkan sendiri standar emisi yang lebih ketat.,1,0,0,1
"Jadi, bayangkan betapa besarnya keberanian yang diperlukan untuk menjatuhkan Winfrey karena tidak cukup dermawan. Itulah yang terjadi ketika seorang pengguna Instagram yang asin memasukkan komentar di bawah foto yang diposting Winfrey untuk merayakan lulusan Colorado College.",1,0,0,1
"Mulai dari kebakaran hutan di Australia dan California hingga angin topan dan banjir di Florida, berbagai kejadian ekstrem akan menjadi lebih parah dan lebih umum seiring dengan semakin cepatnya perubahan iklim.",1,0,0,1
"Keputusan tersebut membatalkan tekad kantor Menteri Luar Negeri Partai Republik Tre Hargett bahwa ketakutan tertular atau tanpa disadari menyebarkan virus di tempat pemungutan suara tidak akan membuat seseorang memenuhi syarat untuk memilih melalui surat. Negara bagian tersebut berpendapat bahwa perluasan seperti itu tidak akan mungkin dilakukan pada pemilu tahun 2020. , menyatakan kurangnya uang, personel dan peralatan untuk meningkatkan pemungutan suara melalui surat, di antara kekhawatiran lainnya.",1,0,0,1
Ingraham memulai pertukaran ini dengan menyatakan bahwa gaji lulusan Amerika telah tertekan oleh membanjirnya lulusan asing.,0,0,1,1
"Beberapa tahun yang lalu, ada satu peristiwa di mana beberapa pejabat Partai Republik, karena takut akan reaksi balik terhadap “perang terhadap perempuan,” berpura-pura pro-choice dan menggunakan retorika yang sangat menipu mengenai kontrasepsi sebagai cara untuk meningkatkan prospek pemilu mereka.",1,0,0,1
"Jika Tiongkok menjadi negara pertama yang mengembangkan vaksin yang efektif, diktator Xi Jinping telah berjanji untuk menyediakan vaksin virus corona “gratis” yang dibiayai oleh Beijing kepada dunia.",0,0,1,1
"Hak untuk melakukan aborsi hanyalah hak untuk membunuh manusia yang belum dilahirkan. Namun pendukung aborsi seperti Quinn dan Cuomo merasa lebih mudah berargumen bahwa mereka memperjuangkan “hak reproduksi” (walaupun pendukung aborsi tidak menolak hak perempuan untuk bereproduksi) atau bahwa janin bukanlah manusia melainkan “kumpulan sel”. ” Sama seperti para pemilik budak dan para pendukung eugenika sebelumnya, lebih mudah bagi para pendukung aborsi untuk melakukan advokasi terhadap pembunuhan setelah mereka melakukan dehumanisasi terhadap kehidupan yang ingin mereka akhiri.",0,0,1,1
"Memecahkan jendela toko, membakar gedung, merusak monumen pahlawan Amerika, meninggalkan ancaman grafiti di dinding sinagoga, menyerang gereja dan batu nisan Kristen, meneror orang yang masih hidup, dan tidak memberikan kedamaian bagi orang mati—inilah pencapaian besar Antifa dan orang-orang yang mereka bunuh. telur.",0,0,1,1
Conway mendaur ulang pokok pembicaraan sayap kanan yang secara keliru mengklaim bahwa undang-undang yang dirancang untuk melonggarkan pembatasan tertentu pada aborsi jangka panjang di Virginia adalah “pembunuhan bayi” selama penampilannya di hari Senin di “Kalah Jumlah Lembur dengan Harris Faulkner.”,1,0,0,1
Kelompok anti-vaksin membawa pelecehan online yang berbahaya ke dunia nyata,1,0,0,1
Partai Demokrat telah menegaskan bahwa mereka akan menganiaya orang-orang yang kita pilih untuk memerintah jika kita menolak memilih Demokrat.,0,0,1,1
Tiongkok tampaknya juga menanggapi keluhan serupa dari kelompok sayap kiri di Amerika Serikat. Keluhan mengenai “kemacetan” partisan sudah ada sejak lama dan semakin meningkat ketika Partai Demokrat dan media yang bersimpati pada merekalah yang mengeluhkan bahwa Partai Republik menghalangi mereka.,0,0,1,1
"Di Washington, tiga isu utama tampaknya menyemangati sebagian besar pengunjuk rasa: perubahan iklim, imigrasi dan hak-hak reproduksi.",1,0,0,1
"Dalam praktiknya, hal ini berarti sulit untuk mempercayai janji Bezos ketika Amazon, sumber kekayaannya, secara agresif mendekati perusahaan minyak dan gas dengan layanan komputasi awannya dan mengancam pekerja yang berkampanye untuk aksi iklim yang lebih kuat dengan pemecatan.",1,0,0,1
Miami baru-baru ini mendeklarasikan keadaan darurat iklim karena kota ini menghadapi ancaman nyata saat berjuang melawan kenaikan permukaan air laut dan badai Atlantik yang semakin dahsyat.,0,1,0,1
"Namun, tidak ada diskusi serius mengenai masalah ini dalam cuplikan suara berdurasi 60 detik. Jadi, di luar omong kosong orang kaya yang mewarnai setiap pokok perdebatan ekonomi Partai Demokrat, para kandidat menggunakan dua taktik: kejutan dan cerita sedih.",0,0,1,1
"Peringkat dukungan terhadap Trump tetap bertahan di kisaran 40%, dengan sebagian besar anggota Partai Republik masih menyetujui kinerjanya secara keseluruhan. Namun pesimisme yang berkelanjutan di kalangan pendukung Trump dapat menjadi pertanda potensi kelemahan menjelang pemilu November, ketika ia akan menghadapi mantan Wakil Presiden Partai Demokrat Joe Biden, kata para ahli.",0,1,0,1
"Pengumuman Smith pada hari Minggu di perguruan tinggi yang seluruhnya laki-laki dan secara historis berkulit hitam di Atlanta, Georgia, memicu seruan yang berapi-api untuk membuat pendidikan tinggi gratis di seluruh negeri dan membatalkan utang mahasiswa.",1,0,0,1
Pemakzulan hanyalah kata lain dari delusi Partai Demokrat yang menyandera bangsa,0,0,1,1
Meskipun Alexandria Ocasio-Cortez bukanlah orang pertama yang menggambarkan pusat penahanan migran sebagai kamp konsentrasi – Sheriff Arizona Joe Arpaio yang dipermalukan menyombongkan “kota tenda” di Gurun Sonora hanya itu – komentarnya memicu badai kontroversi.,1,0,0,1
"Sebagai permulaan, Gautney, berdasarkan profil Twitter-nya, adalah seorang profesor sosiologi di Universitas Fordham, sebuah sekolah swasta yang berlokasi di New York City. Semua ini tidak menjadi masalah tersendiri; dalam masyarakat bebas, orang harus bisa men-tweet hal-hal bodoh apa pun yang mereka inginkan saat bekerja di industri atau bidang penelitian apa pun.",0,0,1,1
"Selama beberapa tahun, para peramal perubahan iklim mengalihkan perhatian mereka ke peternakan, karena serangkaian laporan menunjukkan bahwa “emisi peternakan” lebih berbahaya bagi lingkungan dibandingkan mobil.",0,0,1,1
"Yang luar biasa, meskipun mereka telah melihat anak mereka menderita, orang tuanya tidak hanya menolak saran dokter agar anak tersebut menerima vaksinasi DTaP lagi, mereka juga menolak semua jadwal vaksinasi lain yang terlewatkan oleh anak tersebut.",1,0,0,1
"Namun hal ini jauh lebih baik diterapkan pada penggunaan kekuasaan oleh birokrat karir yang tidak dipilih untuk mengadili musuh-musuh politik mereka, yang merupakan inti dari “perlawanan” terhadap kekuasaan Partai Republik yang akan bertahan selama birokrasi memiliki cukup kekuasaan untuk menantang cabang-cabang pemerintahan yang dipilih. Persenjataan birokrasi ini juga merupakan ciri khas kepresidenan Obama, dan – ironi di balik ironi – mungkin bukti terbesar datang dari Departemen Kehakiman di bawah kepemimpinan Jaksa Agung Eric Holder dan Loretta Lynch.",0,0,1,1
"Calon lawan presiden dalam pemilu November, Joe Biden dari Partai Demokrat, tidak termasuk di antara mereka yang terinspirasi. Sebaliknya, karena dia tidak peka terhadap rakyat Amerika dan hal-hal yang berhubungan dengan Roh, dia mengatakan bahwa kemunculan presiden di luar gereja menunjukkan bahwa dia “lebih tertarik pada kekuasaan daripada prinsip.”",0,0,1,1
"Selama pidato penerimaannya sebagai aktris terbaik dalam serial televisi terbatas untuk Fosse/Vernon, Williams melontarkan kata-kata kasar yang aneh tentang perlunya hak aborsi di Amerika Serikat dan bagi perempuan Amerika untuk memilih kandidat yang pro-choice selama tahun-tahun pemilu.",0,0,1,1
"Pada tahun 2010-an, perekonomian AS mencapai ekspansi terpanjangnya, dengan pencapaian penting seperti perolehan lapangan kerja selama 110 bulan tanpa gangguan dan tingkat pengangguran yang mendekati angka terendah dalam setengah abad menjadi bahan kebanggaan bagi para politisi dan ekonom.",0,1,0,1
"Utang pinjaman pelajar tidak diragukan lagi merupakan hambatan bagi perekonomian AS, menghambat jumlah uang yang dapat dibelanjakan konsumen muda untuk membeli mobil, rumah, dan bahkan berinvestasi dalam rencana 401(k) atau bisnis baru.",0,1,0,1
"Donald Trump pada saat itu mengumumkan bahwa Badan Perlindungan Lingkungan akan dipimpin, setidaknya untuk sementara, oleh Andrew Wheeler – mantan pelobi, antara lain, Murray Energy, salah satu perusahaan batu bara terbesar di AS dan mantan kepala penasihat Senator James Inhofe (R-Okla.), salah satu penyangkal iklim terkemuka di negara ini.",1,0,0,1
"Merupakan sebuah pujian yang luar biasa atas kebodohan manusia ketika negara terkaya di dunia berada di ambang epidemi campak yang berbahaya, pada saat yang sama negara-negara miskin sedang berjuang untuk memvaksinasi penduduknya.",1,0,0,1
"Melindungi perempuan hamil, ibu baru dan anak-anak lebih dari sekedar mencetak poin politik dengan undang-undang anti-pilihan.",1,0,0,1
Kegagalan dalam mengambil tindakan untuk memperbaiki pemanasan global menyingkapkan mitos kemajuan manusia dan ilusi bahwa kita adalah makhluk rasional.,1,0,0,1
"Seorang pengunjuk rasa terlihat melemparkan benda ke arah Frey saat dia menyelinap pergi. Biden, sejauh ini, menikmati kemewahan dengan tetap berada di ruang bawah tanahnya, tersembunyi dari para aktivis yang menginginkan jawaban.",0,0,1,1
Pidato Oscar Phoenix untuk Joker adalah wacana bertele-tele yang mengarah ke beberapa arah sebelum berakhir pada basa-basi lingkungan.,0,0,1,1
"Namun jika Anda mengambil jurusan filsafat atau studi gender, Anda mungkin kesulitan mendapatkan pekerjaan apa pun di bidang Anda, apalagi pekerjaan bergaji tinggi.",0,0,1,1
Menghambat perjalanan dan perdagangan—belum lagi menjadikan wawancara konsuler sangat mengganggu berdasarkan gender—dengan menerapkan pembatasan terhadap perempuan hamil merupakan reaksi yang mengkhawatirkan terhadap sebuah isu kecil.,1,0,0,1
"Major League Baseball menggunakan kekuatan finansialnya untuk mendukung tim softball wanita AS, yang sudah mendapat tempat di Olimpiade Tokyo sementara tim baseball pria Amerika kesulitan untuk lolos.",0,0,1,1
"Orang-orang dari populasi yang menjadi sasaran kebijakan imigrasi ini mungkin juga mengalami lebih banyak diskriminasi, yang memperburuk kesehatan mental.",0,1,0,1
Enam Senator Partai Republik gagal membentuk koalisi untuk rencana mereka yang menukar seperlima pendanaan tembok perbatasan dengan amnesti bagi orang asing ilegal dan peningkatan imigrasi.,0,0,1,1
"Biden melontarkan pernyataan apokaliptik tersebut saat membahas perubahan iklim di hadapan kerumunan pendukungnya di Peterborough, New Hampshire.",0,0,1,1
"Mungkin ada penolakan di kalangan Demokrat. Jika demikian, saya harap pihak yang mendorong akan mempertimbangkan kembali. Kita telah memperlakukan generasi muda dan banyak orang tua dengan tidak adil. Tindakan mengakui ketidakadilan yang belum pernah kita lihat sebelumnya menjadikan kita lebih manusiawi dan memurnikan kita sebagai makhluk bermoral.",1,0,0,1
"Namun warga Amerika yang menyalahkan orang tua yang anti-vaksinasi dan propaganda mereka salah. Ya, mereka yang tidak memvaksinasi anak-anak mereka berperan dalam tingkat kegagalan kita, dan kebohongan tentang vaksinasi yang menyebabkan autisme telah memperburuk keadaan, namun ada penyebab yang kurang diketahui dan lebih signifikan terhadap rendahnya tingkat penyelesaian vaksinasi pada anak-anak.",0,0,1,1
"Pinjaman orang tua adalah pengorbanan yang dilakukan banyak orang tua kulit hitam untuk membiayai pendidikan perguruan tinggi anak-anak mereka, dan hal ini terutama terjadi di kalangan keluarga yang anak-anaknya bersekolah di perguruan tinggi dan universitas yang secara historis merupakan orang kulit hitam.",0,1,0,1
"Gagasan ini, yang mendapat perhatian di bawah tagar #CancelStudentDebt setelah dikeluarkannya rencana pengampunan utang kuliah Sanders, buruk karena beberapa alasan, namun tentu saja menarik dalam cara yang populis, karena banyak orang memilih untuk tidak memikirkan dampak tingkat kedua. dan potensi konsekuensi yang membuat negara kita terjerumus ke dalam utang nasional yang lebih besar dibandingkan sebelumnya.",0,0,1,1
"Trump dilaporkan mengatakan kepada para penasihatnya dalam pertemuan “yang kontroversial” pada hari Senin bahwa dia ingin mengerahkan sebanyak 10.000 pasukan Garda Nasional ke Washington, menurut laporan Reuters. Namun Menteri Pertahanan Mark Esper, Ketua Kepala Staf Gabungan Mark Milley dan Jaksa Agung William Barr dilaporkan menolak hal tersebut.",1,0,0,1
Aktor dan aktivis perubahan iklim Joaquin Phoenix terlihat di Pesta Oscar dengan botol air plastik setelah kata-kata kasar tentang perubahan iklim.,0,0,1,1
Para litigator yang pro-kehidupan tahu bahwa hakim Trump menyelamatkan nyawa dengan mengizinkan penerapan pembatasan aborsi.,0,0,1,1
"Namun bahkan setelah tertular infeksi yang mengancam nyawa yang mungkin bisa dicegah dengan vaksin, keluarganya tetap teguh pada pendirian anti-vax mereka.",0,1,0,1
"Berikutnya adalah cerita sedih. Pinjaman mahasiswa tersebut mencekik satu generasi, saran para kandidat. Lagi pula, “40 juta dari kita tidak dapat memulai sebuah keluarga,” ayah Swalwell yang mengganti popok menyatakan secara kontradiktif, menambahkan bahwa mereka “Tidak dapat mengambil ide bagus dan memulai bisnis dan tidak dapat membeli rumah pertama kami. ”",0,0,1,1
"Bagi mereka yang berpikir negara ini membutuhkan bisbol sekarang untuk membangkitkan semangat depresinya, Anda mungkin mempertimbangkan preseden sejarah yang patut diwaspadai, Musim Panas Swat tahun 1998.",1,0,0,1
"Sebagai perhitungan politik, hal ini menunjukkan tim kampanye Biden yakin akan posisi mereka di hadapan banyak kelompok moderat di pinggiran kota yang dulunya merupakan pemilih tetap (swing voter), namun telah bergerak secara solid ke Partai Demokrat selama masa kepresidenan Trump, tersinggung oleh sikapnya yang suka menindas dan gayanya yang kacau.",1,0,0,1
"Bagi teman-teman kita di kelompok Kiri, penolakan Trump untuk memakai masker adalah racun maskulinitas yang tidak bertanggung jawab, yang mengirimkan pesan yang salah dan membuat orang terbunuh, meskipun Dr. Deborah Brix telah menjelaskan bahwa hal tersebut tidak terlalu berisiko. Sementara itu, Biden menurut mereka memimpin dengan memberi contoh dengan mengenakan masker meskipun tidak ada alasan yang kuat untuk melakukannya.",0,0,1,1
"Namun ada juga krisis iklim global yang semakin parah, yang membawa risiko yang mengubah hidup miliaran orang.",1,0,0,1
"Ini jebakan karena pendidikan perguruan tinggi tidak menjamin pekerjaan yang baik. Selama bertahun-tahun, laba atas investasi untuk pendidikan tinggi terus menurun. Lebih dari 40 persen lulusan perguruan tinggi baru-baru ini menganggur dan bekerja pada pekerjaan yang tidak memerlukan pendidikan perguruan tinggi.",0,0,1,1
"Selain fakta bahwa tidak satupun dari hal di atas yang mendekati kebenaran dan bahwa seluruh premis artikel tersebut adalah berita palsu yang paling palsu, Daily Beast memiliki kejutan yang nyata.",0,0,1,1
Sejumlah pemimpin dunia dan pejabat senior lainnya menyatakan kekecewaan mereka atas apa yang mereka katakan sebagai kesediaan Trump untuk menghambat WHO pada saat dunia sangat membutuhkannya.,1,0,0,1
"Sejak awal merebaknya wabah virus corona, Trump telah menghambat upaya memperlambat penyebaran virus dan mendorong kegelisahan warga Amerika saat menjalani karantina.",1,0,0,1
Ini adalah Taliban yang sama yang dengan senang hati membunuh perempuan muda karena kejahatan bersekolah dan menganggap demokrasi sebagai kejahatan terhadap Islam yang dapat dihukum mati.,0,0,1,1
"Namun Trump dan para pendukungnya yang paling bersemangat tampaknya secara fisik merasa jijik dengan gagasan mengenakan masker. Salah satu legislator Partai Republik di negara bagian Ohio bahkan menyatakan bahwa karena “kita semua diciptakan menurut gambar dan rupa Allah”, menutup wajah dengan masker merupakan penghinaan terhadap ciptaan Allah.",1,0,0,1
"Kebakaran Amazon yang disebabkan oleh ulah manusia bertujuan untuk membuka lahan hutan dan masyarakat adat. Dampaknya bagi kroni-kroni Jair Bolsonaro, sekaligus menimbulkan bencana iklim bagi dunia.",1,0,0,1
"Namun demikian, jihad media terus berlanjut, termasuk NBC yang tanpa malu-malu memuat berita kotor yang telah dibantah dan menipu, yang telah dilaporkan dan dibantah sejak bulan Mei lalu.",0,0,1,1
Tlaib menuduh Israel menggunakan dana AS untuk mencapai tujuannya menjadi negara etno-supremasi.,1,0,0,1
"Tentu saja, para miliarder dan perusahaan yang meraup jutaan dolar dari pemotongan pajak Partai Republik menyalurkan sebagian dari rejeki nomplok tersebut ke dalam kampanye Partai Republik, sehingga memungkinkan Senator Mitch McConnell, R-Ky., untuk mempertahankan kendali di Senat.",1,0,0,1
"Kelompok Kristen Kanan, nasionalis kulit putih, dan pendukung kebenaran virus corona begitu menyimpang sehingga mereka bahkan menjadikan Dr. Anthony Fauci sebagai salah satu objek kebencian mereka. Fauci, seorang ahli imunologi yang merupakan bagian dari gugus tugas virus corona Trump, harus meningkatkan detail keamanannya karena ancaman pembunuhan dari para ekstremis yang percaya bahwa ia membesar-besarkan ancaman tersebut untuk melemahkan kepresidenan Trump.",1,0,0,1
"Hingga beberapa tahun terakhir, yang bisa dibicarakan oleh Washington hanyalah bagaimana mengurangi tunjangan Jaminan Sosial, dan sejauh mana koalisi progresif akar rumput mulai berkampanye untuk melakukan perluasan pada tahun 2013, dan gagasan tersebut sejak itu langsung menyentuh hati Partai Demokrat. Berpesta.",0,1,0,1
"Bagi Fox, Clinton, Omar, dan Ocasio-Cortez mewakili target sempurna dalam hal mengobarkan basis intoleransi: Clinton adalah perempuan dengan usia tertentu, sedangkan Ocasio-Cortez dan Omar adalah perempuan dengan latar belakang tertentu.",1,0,0,1
"Media arus utama saat ini tidak ingin Anda mengingatnya, namun masa-masa awal feminisme penuh dengan pertarungan ideologis dan pengkhianatan yang akan mempermalukan pengadilan abad pertengahan.",0,0,1,1
"Sebuah pernyataan berani pada hari Rabu dari mantan Menteri Pertahanan Jenderal James Mattis yang mengecam Donald Trump telah menjadi sebuah bom di kaukus Partai Republik di Senat, membuat para anggotanya melarikan diri ke berbagai arah.",1,0,0,1
Para hakim menolak tantangan dari kelompok hak kepemilikan senjata.,1,0,0,1
Pemerintahan Trump mengesampingkan dokumen yang dibuat oleh para penyelidik penyakit terkemuka di AS yang berisi saran langkah demi langkah kepada otoritas lokal mengenai bagaimana dan kapan membuka kembali restoran dan tempat umum lainnya selama wabah virus corona masih merajalela.,0,1,0,1
"Rupanya, bahkan banyak orang dalam gerakan hak senjata merasa prihatin dan berupaya untuk mencegah orang-orang membawa senjata secara terbuka ke rapat umum, namun dengan para pemimpin seperti Tucker Carlson dan Donald Trump mendukung mereka, maka “orang-orang baik” akan datang ke Richmond pada bulan Januari. 20 orang mungkin merasa mereka mendapat izin untuk menyalakan api.",1,0,0,1
Pada titik inilah Trump berpikir akan menjadi ide bagus untuk mulai menyombongkan diri.,1,0,0,1
"Namun secara lebih halus, Pelosi juga menggunakan gendernya untuk membuat Trump – yang terlihat terkejut dengan kehadiran wanita mana pun yang tidak jelas-jelas melayani Trump, baik secara seksual atau lainnya – berada di belakangnya.",1,0,0,1
"Perdana Menteri India Narendra Modi sering dibandingkan dengan Donald Trump, terutama dalam hal kebijakan anti-Muslimnya.",1,0,0,1
"Carmen Lodato memakai pin bergambar wajah ibunya — sebuah pengingat akan pembunuhan yang menyayat hati enam tahun lalu di Alexandria, Va., yang membawanya ke perjuangan untuk pengendalian senjata.",1,0,0,1
"Palmer telah menggunakan kekuasaan perwakilan untuk membentuk angkatan bersenjata swasta yang terdiri dari para pendukung politiknya—dan dia memberi mereka kekuasaan yang luar biasa, termasuk kemampuan untuk melecehkan musuh-musuhnya.",1,0,0,1
"Tragedi 18 tahun Amerika di Afghanistan adalah penolakan keras untuk mengakui bahwa pemerintah Afghanistan tidak mampu berdiri sendiri, tidak peduli berapa banyak uang yang dikucurkan, berapa banyak pelatihan yang diberikan kepada pasukannya, atau berapa banyak pertempuran yang mereka lakukan. Tentara Amerika bertarung.",0,0,1,1
"Sargent telah menulis artikel sayap kiri di Washington Post selama bertahun-tahun. Pada bulan Maret 2016, Sargent menyebut calon presiden saat itu, Donald Trump, sebagai “calon presiden yang buruk,” dan mengatakan bahwa bahkan orang kulit putih pun tidak akan menyukai Trump.",0,0,1,1
"Ambil contoh, empat hakim Mahkamah Agung yang sangat liberal, yang semuanya percaya bahwa tidak apa-apa untuk memaksa orang Amerika membayar iuran kepada organisasi politik yang tidak mereka setujui, memaksa mereka untuk mengatakan hal-hal yang mereka benci, dan memaksa mereka untuk menciptakan hal-hal yang melemahkan. prinsip-prinsip mereka.",0,0,1,1
Hotline bunuh diri kewalahan. Pengangguran meroket. Perempuan dan anak-anak yang berada dalam hubungan yang penuh kekerasan terjebak di rumah dalam situasi mimpi buruk bersama para pelaku kekerasan. Penjualan alkohol meroket. Anak asuh tidak punya tempat untuk dicintai dan diperhatikan.,0,0,1,1
"Ingatlah bahwa tidak satupun dari elit kaya ini melakukan apa pun untuk mendapatkan keuntungan luar biasa ini. Mereka tidak bekerja lebih keras lagi, tidak menjadi lebih pintar, tidak memberikan sesuatu yang bernilai bagi masyarakat, namun hanya bermalas-malasan dalam kemewahan dan membiarkan uang mereka menghasilkan uang.",1,0,0,1
"Media sayap kanan mulai mengambil tindakan untuk mencoba mendiskreditkannya, tentu saja, dengan menyiratkan bahwa seorang wanita yang lulus summa cum laude dengan gelar ekonomi adalah seorang yang bimbo dan dengan Twitchy menggunakan tangkapan layar untuk membuat Ocasio-Cortez yang biasanya ramah terlihat seperti sebuah ballbuster.",1,0,0,1
Seruannya terhadap Green New Deal (Kesepakatan Baru yang Ramah Lingkungan) – yang bertujuan untuk fokus pada ketimpangan pendapatan dan perubahan iklim dengan mendanai sejumlah gagasan radikal dalam daftar keinginan liberal dan merombak sektor energi nasional – telah dianut oleh sejumlah calon kandidat pada tahun 2020. .,0,0,1,1
Rispone sangat kecewa dengan iklan umpan ras dari sekutu Edwards.,0,0,1,1
