text,subjectivity_score,objectivity_score
bekerja,0.3243243243243243,0.6756756756756757
kesempatan,0.0,1.0
mengedip,0.0,1.0
spontan,1.0,0.0
selamat,1.0,0.0
sesat,1.0,0.0
kapur,0.0,1.0
mengejek,1.0,0.0
penghematan,0.5,0.5
di dekat,0.0,1.0
tuang,0.0,1.0
sabar,0.0,1.0
sederhana,0.6666666666666666,0.3333333333333333
melihat,0.2,0.8
bekas luka,0.5,0.5
tidur sebentar,0.0,1.0
menghormati,0.0,1.0
perjanjian,0.6666666666666666,0.3333333333333333
kejengkelan,0.6666666666666666,0.3333333333333333
penyuburan,0.0,1.0
sikap,0.25,0.75
meniup,0.2857142857142857,0.7142857142857143
tabir asap,0.0,1.0
reposisi,0.0,1.0
agresivitas,1.0,0.0
menghantui,0.0,1.0
klasik,0.5,0.5
siap,1.0,0.0
derajat,0.0,1.0
jungkir balik,0.0,1.0
dibebankan,0.0,1.0
keanggunan,1.0,0.0
hukuman penjara,0.0,1.0
pembuat plot,0.0,1.0
eksploitasi,1.0,0.0
korosi,0.0,1.0
keras,0.0,1.0
daun telinga,0.0,1.0
keamanan,0.25,0.75
stigma,0.0,1.0
sifat damai,0.0,1.0
rekonsiliasi,0.5,0.5
kejutan,0.0,1.0
mendidihkan,0.2,0.8
musuh,0.6666666666666666,0.3333333333333333
kebajikan,1.0,0.0
membuka,0.2857142857142857,0.7142857142857143
menggosok,0.0,1.0
tunggul,0.0,1.0
keriuhan di pawai,0.5,0.5
ledakan,0.2,0.8
fatamorgana,0.0,1.0
rumah pendeta,0.0,1.0
membusuk,0.0,1.0
kerasnya,1.0,0.0
bagian,0.0,1.0
tekan,0.0,1.0
ketidakamanan,1.0,0.0
halangan,0.6666666666666666,0.3333333333333333
bebas,0.1111111111111111,0.8888888888888888
disonansi,0.3333333333333333,0.6666666666666666
argumen,0.6,0.4
bau,0.0,1.0
pembetulan,0.0,1.0
sama sekali,0.6,0.4
tanggung jawab,0.0,1.0
bangun,0.0,1.0
sifat tidur,0.0,1.0
auditor,0.0,1.0
liga,0.0,1.0
budaya,0.0,1.0
konfrontasi,1.0,0.0
perasaan waswas,1.0,0.0
menyerang,0.2222222222222222,0.7777777777777778
polarisasi,0.5,0.5
tiran,0.5,0.5
naga,0.0,1.0
navigator,0.0,1.0
minat,0.4,0.6
terompet kecil,0.0,1.0
menakjubkan,1.0,0.0
ketidaksenonohan,1.0,0.0
otak,0.0,1.0
menangkap,0.3,0.7
demam,0.5,0.5
buta,0.2857142857142857,0.7142857142857143
kelicikan,1.0,0.0
idola,1.0,0.0
merindukan,1.0,0.0
menyenangkan,1.0,0.0
preferensi,0.75,0.25
termokouter,0.0,1.0
belanja,0.0,1.0
sanggahan,0.0,1.0
kerangka,0.25,0.75
kekerasan,1.0,0.0
berlebihan,0.6666666666666666,0.3333333333333333
mengizinkan,0.6666666666666666,0.3333333333333333
penerimaan,0.3333333333333333,0.6666666666666666
melanggar,0.5,0.5
kebingungan,1.0,0.0
target,0.0,1.0
menyortir,0.3333333333333333,0.6666666666666666
memengaruhi,0.5,0.5
kerub,0.5,0.5
somatotropin,0.0,1.0
partisan,0.0,1.0
piknik,0.0,1.0
berkah,0.0,1.0
protoantropologi,0.0,1.0
agen,0.0,1.0
kisah,0.5,0.5
semi,0.0,1.0
Lihat,0.6,0.4
radioaktif,0.0,1.0
luka,0.6666666666666666,0.3333333333333333
gejala,0.0,1.0
sifat tidak bermoral,1.0,0.0
perang,0.5,0.5
tidak langsung,1.0,0.0
kecemburuan,1.0,0.0
wabah,0.25,0.75
nyata,0.3333333333333333,0.6666666666666666
sumpah,0.0,1.0
rok,0.0,1.0
harta benda,0.0,1.0
protes,0.3333333333333333,0.6666666666666666
harga diri,0.6666666666666666,0.3333333333333333
padat,0.0,1.0
selai,0.25,0.75
balok,0.6,0.4
pengunduran diri,0.0,1.0
kebangkitan,0.0,1.0
komputasi,0.0,1.0
ketidakberdayaan,1.0,0.0
bencana alam,0.5,0.5
silau,1.0,0.0
kemungkinan,0.0,1.0
keuntungan,0.3333333333333333,0.6666666666666666
sedikit,0.7777777777777778,0.2222222222222222
jerat,0.0,1.0
boneka,0.0,1.0
ketaatan,1.0,0.0
khadafy,0.0,1.0
gembala,0.0,1.0
ketidakteraturan,0.3333333333333333,0.6666666666666666
kuliah,0.0,1.0
melecehkan,1.0,0.0
mohon,1.0,0.0
laba,0.5,0.5
akan,0.6666666666666666,0.3333333333333333
kemitraan,0.0,1.0
tidak menyenangkan,1.0,0.0
posisi,0.25,0.75
kelimpahan,0.3333333333333333,0.6666666666666666
korban,0.0,1.0
persepsi,0.5,0.5
intrik,1.0,0.0
pembela,0.0,1.0
mimpi buruk,1.0,0.0
suara,1.0,0.0
baik,1.0,0.0
momok,0.5,0.5
infiltran,0.0,1.0
pembantu,0.0,1.0
lagu,1.0,0.0
memotong,0.0,1.0
suaka,0.0,1.0
Sebenarnya,0.5,0.5
kecelakaan,1.0,0.0
ahli psikofisika,0.0,1.0
pemutarbalikan,0.5,0.5
sherpa,0.0,1.0
tenang,0.5,0.5
pemerasan,1.0,0.0
Bagus,0.5,0.5
keluhan,0.3333333333333333,0.6666666666666666
ketabahan,1.0,0.0
tertawa,0.0,1.0
sengketa,1.0,0.0
radikal,0.4,0.6
menolak,0.2857142857142857,0.7142857142857143
lubang angin,0.2,0.8
inferioritas,1.0,0.0
adil,0.0,1.0
mencaci,1.0,0.0
pemujaan,1.0,0.0
pengaturan,0.0,1.0
menyerbu,0.0,1.0
eisteddfod,0.0,1.0
rontok,0.5,0.5
torrent,0.0,1.0
kekasih,1.0,0.0
deviasi,0.2,0.8
implikasi,0.5,0.5
menerima,0.5,0.5
Akhirnya,0.3333333333333333,0.6666666666666666
tukang jualan,0.5,0.5
kontradiksi,0.0,1.0
ensiklopedia,0.0,1.0
miring,0.3333333333333333,0.6666666666666666
polos,0.5,0.5
toko makanan,0.0,1.0
perdamaian,0.4,0.6
manuver,0.3333333333333333,0.6666666666666666
hiperkolesterolemia,0.0,1.0
tidak terpengaruh,1.0,0.0
berkolaborasi,0.5,0.5
gereja biara,0.0,1.0
bugar,0.5,0.5
kesempurnaan,1.0,0.0
menipu,0.75,0.25
rencana,0.3333333333333333,0.6666666666666666
pemeriksaan,0.0,1.0
lonjakan,0.0,1.0
kejatuhan,0.5,0.5
pemenuhan,0.5,0.5
keseganan,1.0,0.0
tumpukan,0.0,1.0
izin,0.0,1.0
dosa,0.0,1.0
kuil,0.0,1.0
sahabat,0.0,1.0
rahang,0.0,1.0
keriangan,1.0,0.0
pengaruh,0.4,0.6
klik-klak,0.0,1.0
muncul,0.2857142857142857,0.7142857142857143
cara,0.0,1.0
bahkan jatuh,0.0,1.0
inspirasi,0.75,0.25
beban,0.3333333333333333,0.6666666666666666
penerima,0.0,1.0
pengenaan,1.0,0.0
kesulitan,0.0,1.0
mengasyikkan,1.0,0.0
migrasi,0.0,1.0
keagungan,1.0,0.0
vital,0.2857142857142857,0.7142857142857143
jumlah lebih besar,0.6666666666666666,0.3333333333333333
segar,1.0,0.0
perlawanan,0.0,1.0
pelanggaran hukum,0.0,1.0
ketinggalan jaman,0.0,1.0
tidak ortodoksi,1.0,0.0
beku,0.0,1.0
ketidakstabilan,0.6666666666666666,0.3333333333333333
disayangkan,1.0,0.0
alasan,0.6666666666666666,0.3333333333333333
kejujuran,0.75,0.25
spekulasi,0.0,1.0
Penyimpanan,0.0,1.0
sensasi,1.0,0.0
musuh bebuyutan,0.5,0.5
minat,0.2857142857142857,0.7142857142857143
bergegas,1.0,0.0
katalisator,0.0,1.0
contoh,0.0,1.0
popularitas,1.0,0.0
pendapat,0.6666666666666666,0.3333333333333333
penjara bawah tanah,0.0,1.0
wayang,0.3333333333333333,0.6666666666666666
tidak tetap,0.0,1.0
kehilangan,0.1538461538461538,0.8461538461538461
irasional,1.0,0.0
mengeringkan,0.25,0.75
kesederhanaan,1.0,0.0
efusi,0.5,0.5
kekecewaan,1.0,0.0
calvinis,0.0,1.0
sangat diperlukan,1.0,0.0
trauma,1.0,0.0
gosip,1.0,0.0
kesulitan,1.0,0.0
kepahitan,0.0,1.0
gimmick,1.0,0.0
dalam,0.3333333333333333,0.6666666666666666
kerangka tetra,0.0,1.0
menyadari,0.3333333333333333,0.6666666666666666
intoleransi,1.0,0.0
